Woonplaats,Adres,Woning,Doelgroep,Publicatiedatum,Reacties,Verantwoording,Publicatiemodel
Amsterdam,Geduld 12,Portiekwoning - 3 kamers,Gezin,26-09-2023,25 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Alfred Doblinstraat 23 4,Portiekwoning - 2 kamers,Gezin,26-09-2023,1851 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Vrolikstraat 159 -3,Portiekwoning - 2 kamers,Gezin,26-09-2023,633 reacties,De woning is verhuurd aan de 2e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Transvaalstraat 89 2,Portiekflat - 2 kamers,Gezin,26-09-2023,4 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Erich Salomonstraat 151 R,Portiekwoning - 1 kamers,Jongeren,26-09-2023,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Aalsmeer,Julianalaan 63,Tussenwoning - 3 kamers,Gezin,26-09-2023,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Koog aan de Zaan,De Locomotief 39,Galerijflat - 3 kamers,Senioren,26-09-2023,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Tweede Oosterparkstraat 73 -3,Portiekwoning - 2 kamers,Jongeren,26-09-2023,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Spadinalaan 458,Bovenwoning - 2 kamers,Meergezins,26-09-2023,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amstelveen,Dignahoeve 424,Galerijflat - 2 kamers,Gezin,26-09-2023,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Eerste Kostverlorenkade 21 -3,Portiekflat - 2 kamers,Gezin,26-09-2023,2674 reacties,De woning is verhuurd aan de 2e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Goudsbloemstraat 137 -H-V,Benedenwoning - 1 kamers,Jongeren,26-09-2023,575 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Turnerstraat 17 -3,Bovenwoning - 2 kamers,Gezin,26-09-2023,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Uithoorn,Tafeleend 18,Portiekflat - 3 kamers,Gezin,26-09-2023,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Van Oldenbarneveldtstraat 45 -A,Benedenwoning - 1 kamers,Jongeren,26-09-2023,1802 reacties,De woning is verhuurd aan de 1e kandidaat (Loting),Lotingmodel
Amsterdam,Charles Leickertstraat 9 1,Galerijflat - 5 kamers,Gezin,26-09-2023,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Gulden Winckelstraat 15 -3,Portiekwoning - 3 kamers,Gezin,26-09-2023,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Louis Bouwmeesterstraat 202 -H,Portiekwoning - 3 kamers,Senioren,26-09-2023,82 reacties,De woning is verhuurd aan de 16e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Dikninge 36,Galerijflat - 4 kamers,Gezin,26-09-2023,1078 reacties,De woning is verhuurd aan de 7e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Wisseloord 595,Benedenwoning - 2 kamers,Gezin,26-09-2023,1204 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Assendelft,Gele Ring 161,Tussenwoning - 4 kamers,Gezin,26-09-2023,214 reacties,De woning is verhuurd aan de 2e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 564,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Loting),Lotingmodel
Amsterdam,Oostenburgermiddenstraat 476,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Loting),Lotingmodel
Amsterdam,Oostenburgermiddenstraat 384,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Loting),Lotingmodel
Amsterdam,Oostenburgermiddenstraat 432,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Loting),Lotingmodel
Amsterdam,Oostenburgermiddenstraat 612,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Loting),Lotingmodel
Amsterdam,Oostenburgermiddenstraat 520,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Loting),Lotingmodel
Amsterdam,Oostenburgermiddenstraat 514,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 494,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 492,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 470,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 446,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 534,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 426,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 580,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 504,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 558,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 582,Corridorflat - 1 kamers,Jongeren,25-09-2023,3 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 468,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 536,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 482,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 460,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 606,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 604,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 424,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 594,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 618,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 630,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 570,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 438,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 544,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 522,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 512,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 478,Corridorflat - 1 kamers,Jongeren,25-09-2023,3 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 444,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 466,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 414,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 402,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 422,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 400,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 500,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 554,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 410,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 398,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 434,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 386,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 490,Corridorflat - 1 kamers,Jongeren,25-09-2023,3 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 378,Corridorflat - 1 kamers,Jongeren,25-09-2023,8 reacties,De woning is verhuurd aan de 9e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 376,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 532,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 566,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 602,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 626,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 364,Corridorflat - 1 kamers,Jongeren,25-09-2023,3 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 578,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 614,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 634,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 624,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 610,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 600,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 562,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 530,Corridorflat - 1 kamers,Jongeren,25-09-2023,5 reacties,De woning is verhuurd aan de 7e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 508,Corridorflat - 1 kamers,Jongeren,25-09-2023,4 reacties,De woning is verhuurd aan de 5e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 452,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 552,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 430,Corridorflat - 1 kamers,Jongeren,25-09-2023,4 reacties,De woning is verhuurd aan de 5e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 396,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 374,Corridorflat - 1 kamers,Jongeren,25-09-2023,4 reacties,De woning is verhuurd aan de 6e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 372,Corridorflat - 1 kamers,Jongeren,25-09-2023,3 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 464,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 538,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 518,Corridorflat - 1 kamers,Jongeren,25-09-2023,3 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 506,Corridorflat - 1 kamers,Jongeren,25-09-2023,5 reacties,De woning is verhuurd aan de 6e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 496,Corridorflat - 1 kamers,Jongeren,25-09-2023,3 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 462,Corridorflat - 1 kamers,Jongeren,25-09-2023,5 reacties,De woning is verhuurd aan de 6e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 548,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 572,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 484,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 608,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 450,Corridorflat - 1 kamers,Jongeren,25-09-2023,3 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 440,Corridorflat - 1 kamers,Jongeren,25-09-2023,4 reacties,De woning is verhuurd aan de 5e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 596,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 472,Corridorflat - 1 kamers,Jongeren,25-09-2023,3 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 428,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 416,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 404,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 392,Corridorflat - 1 kamers,Jongeren,25-09-2023,8 reacties,De woning is verhuurd aan de 9e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 526,Corridorflat - 1 kamers,Jongeren,25-09-2023,4 reacties,De woning is verhuurd aan de 5e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 370,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 560,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 620,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 632,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 584,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 380,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Oostenburgermiddenstraat 502,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Loting),Lotingmodel
Amsterdam,Oostenburgermiddenstraat 458,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Loting),Lotingmodel
Amsterdam,Oostenburgermiddenstraat 480,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Loting),Lotingmodel
Amsterdam,Oostenburgermiddenstraat 524,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Loting),Lotingmodel
Amsterdam,Oostenburgermiddenstraat 436,Corridorflat - 1 kamers,Jongeren,25-09-2023,2 reacties,De woning is verhuurd aan de 3e kandidaat (Loting),Lotingmodel
Amsterdam,Oostenburgermiddenstraat 412,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Loting),Lotingmodel
Amsterdam,Oostenburgermiddenstraat 388,Corridorflat - 1 kamers,Jongeren,25-09-2023,6 reacties,De woning is verhuurd aan de 7e kandidaat (Loting),Lotingmodel
Amsterdam,Oostenburgermiddenstraat 546,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Loting),Lotingmodel
Amsterdam,Oostenburgermiddenstraat 568,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Loting),Lotingmodel
Amsterdam,Oostenburgermiddenstraat 592,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Loting),Lotingmodel
Amsterdam,Oostenburgermiddenstraat 366,Corridorflat - 1 kamers,Jongeren,25-09-2023,5 reacties,De woning is verhuurd aan de 6e kandidaat (Loting),Lotingmodel
Amsterdam,Oostenburgermiddenstraat 616,Corridorflat - 1 kamers,Jongeren,25-09-2023,1 reactie,De woning is verhuurd aan de 1e kandidaat (Loting),Lotingmodel
Amsterdam,Hofgeest 326,Galerijflat - 2 kamers,Gezin,25-09-2023,1822 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Diemen,Pijlkruid 46,Tussenwoning - 4 kamers,Gezin,25-09-2023,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Hoofddorp,Aletta Jacobsdreef 16,Galerijflat - 4 kamers,Gezin,25-09-2023,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Joubertstraat 9 1,Portiekwoning - 2 kamers,Gezin,25-09-2023,5287 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Krommenie,Jupiterstraat 135,Tussenwoning - 4 kamers,Gezin,25-09-2023,1014 reacties,De woning is verhuurd aan de 4e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Lindenstraat 56 -C,Portiekflat - 4 kamers,Gezin,25-09-2023,5067 reacties,De woning is verhuurd aan de 2e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Van Reigersbergenstraat 766,Galerijflat - 3 kamers,Gezin,25-09-2023,8002 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Saffierstraat 11 B1,Portiekwoning - 3 kamers,Gezin,25-09-2023,136 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Granaatstraat 95,Bovenwoning - 3 kamers,Gezin,25-09-2023,125 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Beek en Hoff 18 HS,Maisonnette - 5 kamers,Gezin,25-09-2023,2306 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Ookmeerweg 222 -3,Portiekwoning - 3 kamers,Gezin,25-09-2023,1601 reacties,De woning is verhuurd aan de 6e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Rijgersborgh 2 -H,Portiekwoning - 2 kamers,Jongeren,25-09-2023,1840 reacties,De woning is verhuurd aan de 2e kandidaat (Loting),Lotingmodel
Amsterdam,Gulden Winckelstraat 1 -H,Portiekwoning - 3 kamers,Gezin,25-09-2023,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Jacob van Lennepstraat 78 -3A,Portiekwoning - 2 kamers,Gezin,25-09-2023,4435 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Burgemeester Rendorpstraat 37 -H,Benedenwoning - 2 kamers,Jongeren,25-09-2023,98 reacties,De woning is verhuurd aan de 1e kandidaat (Voorrang),Aanbodmodel
Koog aan de Zaan,Geerteveld 62,Tussenwoning - 4 kamers,Gezin,25-09-2023,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Bitterzoetstraat 3,Hoekwoning - 3 kamers,Gezin,25-09-2023,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Krommenie,Gagarinstraat 26,Galerijflat - 4 kamers,Gezin,25-09-2023,1335 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Ookmeerweg 192,Galerijflat - 3 kamers,Gezin,25-09-2023,1399 reacties,De woning is verhuurd aan de 11e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Meernhof 70,Portiekwoning - 4 kamers,Gezin,25-09-2023,10 reacties,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amstelveen,Praam 86,Bovenwoning - 2 kamers,Senioren,25-09-2023,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,De la Sallestraat 54,Tussenwoning - 4 kamers,Gezin,25-09-2023,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Badrianhof 6 H,Benedenwoning - 2 kamers,Gezin,23-09-2023,697 reacties,De woning is verhuurd aan de 5e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Tuinbouwstraat 47 -A,Tussenwoning - 2 kamers,Gezin,23-09-2023,3509 reacties,De woning is verhuurd aan de 3e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Cornelis Outshoornstraat 27 -3,Portiekwoning - 3 kamers,Gezin,22-09-2023,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Tweede Oosterparkstraat 44 -3,Portiekwoning - 2 kamers,Gezin,22-09-2023,1 reactie,De woning is verhuurd door middel van directe bemiddeling,Directe bemiddeling
Amsterdam,Van Nijenrodeweg 961,Corridorflat - 2 kamers,Senioren,22-09-2023,183 reacties,De woning is verhuurd aan de 21e kandidaat (Voorrang),Aanbodmodel
Amsterdam,Opheusdenhof 150,Portiekwoning - 2 kamers,Jongeren,22-09-2023,1676 reacties,De woning is verhuurd aan de 2e kandidaat (Loting),Lotingmodel
